Date,Open,High,Low,Close,Volume,Market Cap
2023-12-03,0.0838150141310682,0.0865332874287432,0.0834814419513094,0.0863807378289801,924046734.9268292,11995208311.480837
2023-12-04,0.0860598102139469,0.0871416262288273,0.0838208598753143,0.0854720781982158,1119837874.2229965,12091097035.18467
2023-12-05,0.0854258154305458,0.0918235786297223,0.0854022016636118,0.0918235786297223,2040640509.8118467,12562882735.083624
2023-12-06,0.0918833966582349,0.0949762354543692,0.0877731815098084,0.094338097303651,2249052733.5470386,12865038329.400698
2023-12-07,0.094288155602706,0.1052668496803684,0.0939750072700372,0.0947873742513899,4228737290.480837,14103892010.972126
2023-12-08,0.0949862011844239,0.0980216605929266,0.0931834249653269,0.0959590761227195,3549526834.4390244,13619585826.655052
2023-12-09,0.0961438563447078,0.103356649182495,0.0958316811506676,0.1015432691120529,2139997802.735192,13946874881.449478
2023-12-10,0.1018086335770673,0.1046799212723958,0.0980859533594363,0.0985896639362568,2312002367.344948,14438857370.045296
2023-12-11,0.0989469484374541,0.1027088317827021,0.0969644655206034,0.101930397596194,1699137138.554007,14267906138.156794
2023-12-12,0.102293412620059,0.1036039909903263,0.0915498221361635,0.0941745239156491,3168074012.7112675,13789260307.63028
2023-12-13,0.0942753384691605,0.0975701371024212,0.0913738558304613,0.093906102100276,2495138579.121951,13498611223.111498
2023-12-14,0.0938457757423351,0.0972789524815523,0.0904207934623887,0.0964195382888555,1740919163.6643355,13247883938.48951
2023-12-15,0.0962371503426847,0.0986195210984772,0.094639410498253,0.0982508382618029,1540667414.7665503,13761393814.616724
2023-12-16,0.0982057732435148,0.0987133808935083,0.0928051259769112,0.0929989478511192,1379534011.5679443,13630499943.229963
2023-12-17,0.0932377398102725,0.0971081682378115,0.0921588864058679,0.0971081682378115,1099512733.2508712,13419129187.160278
2023-12-18,0.0968674025630895,0.0976839603838,0.0926184687715527,0.0930795880289465,1177679524.195122,13503452693.898954
2023-12-19,0.0932950931396917,0.093699530088691,0.0872240676034556,0.0920196989127378,1296229260.463415,12900761695.881533
2023-12-20,0.0918666146796752,0.0934148286188277,0.0896265970695778,0.0903248935826927,1223384212.8432057,13063147450.114985
2023-12-21,0.0903043220948205,0.0933116313095829,0.089715817194997,0.0914857969021178,1151626833.9477353,12981046797.707315
2023-12-22,0.091450770292517,0.0972703756175284,0.0907894196525367,0.0949996639749986,1297428322.71777,13156877926.72474
2023-12-23,0.0950821117414801,0.0955931765560125,0.0923695107911842,0.0953708185904263,2052964044.5574915,13368094557.49129
2023-12-24,0.0950050457789657,0.0950632943542114,0.0924463958063391,0.093616536920357,1065052522.543554,13266376317.68641
2023-12-25,0.0933882230397046,0.0948803720069045,0.091305862835307,0.0919725317295113,954119579.3135889,13343968037.72474
2023-12-26,0.0920512797072986,0.0950367373970779,0.0914983256698619,0.0944847618479593,1077965206.3554008,13294749161.923346
2023-12-27,0.094483441958702,0.094483441958702,0.0882624098021576,0.091419427312314,1099216002.5818815,13150180952.317074
2023-12-28,0.0913259170265694,0.0939106544004346,0.0899703943547973,0.0936145865686603,1170197114.4703832,13147814192.696863
2023-12-29,0.0937548471171162,0.0949986691463701,0.0912618901565986,0.0919052445672308,1095654193.0557492,13254101388.243902
2023-12-30,0.0920998024641084,0.0930400125296321,0.0898809373411954,0.0910268605025673,937719175.3972124,13070743797.954704
2023-12-31,0.0909988080910193,0.0914503225162841,0.0894438626826641,0.0900898414599909,781420392.8118467,12897645824.749128
2024-01-01,0.090163823196973,0.090809114457336,0.0889680715268959,0.0894687449682506,501396058.010453,12846023693.560976
2024-01-02,0.0897868950758772,0.0920795617397543,0.0888424854332426,0.0919882745885054,590562321.7421603,12882886773.923346
2024-01-03,0.0918845061536894,0.0943073546777876,0.0908274957051724,0.0912392871752382,904095123.020906,13174282529.94425
2024-01-04,0.0912774021709543,0.0921453441013678,0.0799354994571645,0.0819980436105723,2755746298.076655,12391956749.041813
2024-01-05,0.0819936385805654,0.0846158562549081,0.0812789138598226,0.0840876297912318,4727556875.543554,11828954928.770037
2024-01-06,0.0839319132257117,0.0846791669017531,0.0811659329794271,0.0826988371370087,3838795351.986063,11776503433.923346
2024-01-07,0.0827074825025084,0.0827641997801347,0.0788975648529368,0.080509417380781,3318966888.8118467,11544661993.923346
2024-01-08,0.0805136721021924,0.0814642286202165,0.0772654426250016,0.0782097242955303,2808982091.1149826,11431136469.627178
2024-01-09,0.0783587468064495,0.081784435206611,0.0746890248878153,0.0812465633199116,3660605009.7247386,11227420522.860628
2024-01-10,0.081445944086907,0.0815502474692871,0.0772232766068739,0.0792729363194703,2935930334.414634,11319978302.351915
2024-01-11,0.0793660555699449,0.0846964344208703,0.0770642841183055,0.0829449041459676,2012581066.9198608,11301259617.299652
2024-01-12,0.0827513401904381,0.0878087615571159,0.0822635330701874,0.0845664979900752,1817201777.3414636,12047972089.91986
2024-01-13,0.0845981392887308,0.0854572663441675,0.0782718697883079,0.0800883367772558,1351186478.6271777,11864991908.832752
2024-01-14,0.0802323865474728,0.0813011544623995,0.0791455877241901,0.0809705025758293,1054197594.9372822,11494249658.74216
2024-01-15,0.0809612722443299,0.0837592990688527,0.0798812481887573,0.0798812481887573,795737782.6236933,11642845202.188154
2024-01-16,0.0803358379905161,0.0817198906687699,0.0799923742734852,0.081255792023031,835722341.7491289,11566813548.67596
2024-01-17,0.0812813851426017,0.0822261601420329,0.0800563916173948,0.0813616651915595,688391404.6097561,11605493297.560976
2024-01-18,0.0814659384468411,0.0816016533163904,0.079816520699159,0.0805589689431619,660799411.3658537,11518276244.00697
2024-01-19,0.0805988871727535,0.080795303430039,0.0775554058499789,0.0780829229217852,606411775.2891986,11370758747.344948
2024-01-20,0.0781726336411037,0.078768454430607,0.0751605259091527,0.0786337408909357,806009948.5261323,11116438964.15331
2024-01-21,0.0785283769407413,0.0894126896865276,0.0783345009726242,0.0876890805819059,865551651.6585366,11439623948.400698
2024-01-22,0.0887148683144314,0.0901747463520389,0.0849844373830313,0.0854265277926187,2776868439.8745646,12397174360.96864
2024-01-23,0.0854750119928702,0.0854750119928702,0.080327101387538,0.0804265834322478,1573975107.7003484,11864592375.87108
2024-01-24,0.0806016174392131,0.0817400012065726,0.0762211363284413,0.0782319446688723,1442524386.7735193,11216087659.12892
2024-01-25,0.0781811994479092,0.0806020202645003,0.0778502024848002,0.0791344802492474,1055123280.7142856,11285710088.797909
2024-01-26,0.0789260935065265,0.0791223617017234,0.0771997039971076,0.0780386321215895,726888721.1672474,11139826135.397211
2024-01-27,0.0778719046951124,0.0802927716295068,0.0776211078308694,0.0798464686396984,601336698.0522648,11282859762.432056
2024-01-28,0.079982395782858,0.0807000378153879,0.0791240583585106,0.0801751552360214,558938107.3972125,11402402751.780487
2024-01-29,0.0801195999917297,0.0814146265739282,0.0783983108082752,0.07882858590766,552508752.9372822,11411926976.560976
2024-01-30,0.0785818100571139,0.0828139142856028,0.0782478304908443,0.0813740565289632,869850025.5121951,11504614180.916376
2024-01-31,0.0812281811284661,0.082159695255029,0.0796873258774788,0.0797250172576091,1050983693.5540068,11612469824.592337
2024-02-01,0.0798982543015913,0.0802762223626906,0.0782430341393362,0.0788406870593571,697747291.2578397,11359884302.933798
2024-02-02,0.0788802600185401,0.0797842064383059,0.0779170414238975,0.0793416699681653,632175271.5121951,11289527425.787457
